File Sample_ID Age Group Replicate Orientation
bigwigs/45_forward.bigwig 45 P23 II_Medial 3 forward
bigwigs/46_reverse.bigwig 46 P23 Deep_Medial 3 reverse
bigwigs/46_forward.bigwig 46 P23 Deep_Medial 3 forward
bigwigs/47_reverse.bigwig 47 P23 II_Lateral 3 reverse
bigwigs/47_forward.bigwig 47 P23 II_Lateral 3 forward
bigwigs/48_reverse.bigwig 48 P23 Deep_Lateral 3 reverse
bigwigs/48_forward.bigwig 48 P23 Deep_Lateral 3 forward
bigwigs/49_reverse.bigwig 49 P45 II_Medial 1 reverse
bigwigs/49_forward.bigwig 49 P45 II_Medial 1 forward
bigwigs/50_reverse.bigwig 50 P45 Deep_Medial 1 reverse
bigwigs/50_forward.bigwig 50 P45 Deep_Medial 1 forward
bigwigs/51_reverse.bigwig 51 P45 II_Lateral 1 reverse
bigwigs/51_forward.bigwig 51 P45 II_Lateral 1 forward
bigwigs/52_reverse.bigwig 52 P45 Deep_Lateral 1 reverse
bigwigs/52_forward.bigwig 52 P45 Deep_Lateral 1 forward
bigwigs/53_reverse.bigwig 53 P45 II_Medial 2 reverse
bigwigs/53_forward.bigwig 53 P45 II_Medial 2 forward
bigwigs/54_reverse.bigwig 54 P45 Deep_Medial 2 reverse
bigwigs/54_forward.bigwig 54 P45 Deep_Medial 2 forward
bigwigs/55_reverse.bigwig 55 P45 II_Lateral 2 reverse
bigwigs/55_forward.bigwig 55 P45 II_Lateral 2 forward
bigwigs/56_reverse.bigwig 56 P45 Deep_Lateral 2 reverse
bigwigs/56_forward.bigwig 56 P45 Deep_Lateral 2 forward
bigwigs/57_reverse.bigwig 57 P45 II_Medial 3 reverse
bigwigs/57_forward.bigwig 57 P45 II_Medial 3 forward
bigwigs/58_reverse.bigwig 58 P45 Deep_Medial 3 reverse
bigwigs/58_forward.bigwig 58 P45 Deep_Medial 3 forward
bigwigs/59_reverse.bigwig 59 P45 II_Lateral 3 reverse
bigwigs/59_forward.bigwig 59 P45 II_Lateral 3 forward
bigwigs/60_reverse.bigwig 60 P45 Deep_Lateral 3 reverse
bigwigs/60_forward.bigwig 60 P45 Deep_Lateral 3 forward
bigwigs/61_reverse.bigwig 61 P45 II_Medial 4 reverse
bigwigs/61_forward.bigwig 61 P45 II_Medial 4 forward
bigwigs/62_reverse.bigwig 62 P45 Deep_Medial 4 reverse
bigwigs/62_forward.bigwig 62 P45 Deep_Medial 4 forward
bigwigs/63_reverse.bigwig 63 P45 II_Lateral 4 reverse
bigwigs/63_forward.bigwig 63 P45 II_Lateral 4 forward
bigwigs/64_reverse.bigwig 64 P45 Deep_Lateral 4 reverse
bigwigs/64_forward.bigwig 64 P45 Deep_Lateral 4 forward
